Anthony Davis,AntDavis23, 203076
Stephen Curry,StephenCurry30, 201939
James Harden,JHarden13, 201935
LeBron James,KingJames, 2544
Russle Westbrook,russwest44, 201566
Kawhi Leonard,kawhileonard, 202695
Kevin Durant,KDTrey5, 201142
Chris Paul,CP3, 101108
DeMarcus Cousins,boogiecousins, 202326
John Wall,JohnWall, 202322
Kyrie Irving,KyrieIrving, 202681
Damian Lillard,Dame_Lillard, 203081
Marcus Smart,smart_MS3, 203935
Elfrid Payton,elfrid, 203901
Blake Griffin,blakegriffin32, 201933
Draymond Green,Money23Green, 203110
Jimmy Butler,JimmyButler, 202710
DeAndre Jordan,deandrejordan6, 201599
Giannis Antetokounmpo,G_ante34, 203507
Bradley Beal,RealDealBeal23, 203078
Kevin Love,kevinlove, 201567
Gordon Hayward,gordonhayward, 202330
Rudy Gobert,rudygobert27, 203497
Eric Bledsoe,EBled2, 202339
DAngelo Russell,Dloading, 1626156
Karl-Anthony Towns,KarlTowns, 1626157
Jusuf Nurkic,nurkic23, 203994
Andre Drummond,AndreDrummondd, 203083
Derrick Favors,dfavors14, 202324
Ricky Rubio,rickyrubio9, 201937
Klay Thompson,KlayThompson, 202691
Khris Middleton,Khris22m, 203114
Jrue Holiday,Jrue_Holiday11, 201950
Serge Ibaka,sergeibaka9, 201586
Greg Monroe,M10OSE, 202328
Danny Green,DGreen_14, 201980
Kyle Lowry,Klow7, 200768
Nerlens Noel,NerlensNoel3, 203457
Marc Gasol,MarcGasol, 201188
Mike Conley,mconley11, 201144
Chandler Parsons,ChandlerParsons, 202718
Kentavious Caldwell-Pope,CaldwellPope, 203484
Jared Sullinger,Jared_Sully0, 203096
Nikola Mirotic,threekola, 202703
Paul George,Yg_Trece, 202331
Andrew Wiggins,22wiggins, 203952
Nicolas Batum,nicolas88batum, 201587
Jahlil Okafor,JahlilOkafor, 1626143
Paul Millsap,Paulmillsap4, 200794
Victor Oladipo,VicOladipo, 203506
Michael Kidd-Gilchrist,MKG14, 203077
Cody Zeller,CodyZeller, 203469
Joel Embiid,JoelEmbiid, 203954